species_en,species_scientific,species_de
Isabelline Bush-hen,Amaurornis isabellina,Isabellkielralle
Pale-vented Bush-hen,Amaurornis moluccana,Roststeiß-Kielralle
White-breasted Waterhen,Amaurornis phoenicurus,Weißbrust-Kielralle
Blue Seedeater,Amaurospiza concolor,Indigokardinal
Blackish-blue Seedeater,Amaurospiza moesta,Dunkelkardinal
Honduran Emerald,Amazilia luciae,Hondurasamazilie
Cinnamon Hummingbird,Amazilia rutila,Zimtbauchamazilie
Rufous-tailed Hummingbird,Amazilia tzacatl,Braunschwanzamazilie
Buff-bellied Hummingbird,Amazilia yucatanensis,Fahlbauchamazilie
Amazilia Hummingbird,Amazilis amazilia,Rostbauchamazilie
Turquoise-fronted Parrot,Amazona aestiva,Blaustirnamazone
Black-billed Parrot,Amazona agilis,Rotspiegelamazone
White-fronted Parrot,Amazona albifrons,Weißstirnamazone
Orange-winged Parrot,Amazona amazonica,Venezuelaamazone
Yellow-naped Parrot,Amazona auropalliata,Gelbnackenamazone
Red-lored Parrot,Amazona autumnalis,Rotstirnamazone
Red-tailed Parrot,Amazona brasiliensis,Rotschwanzamazone
Blue-cheeked Parrot,Amazona dufresniana,Goldmaskenamazone
Mealy Parrot,Amazona farinosa,Mülleramazone
Festive Parrot,Amazona festiva,Blaubrauenamazone
Lilac-crowned Parrot,Amazona finschi,Blaukappenamazone
Kawall's Parrot,Amazona kawalli,Kawallamazone
Cuban Parrot,Amazona leucocephala,Kubaamazone
Scaly-naped Parrot,Amazona mercenarius,Soldatenamazone
Yellow-crowned Parrot,Amazona ochrocephala,Gelbscheitelamazone
Yellow-headed Parrot,Amazona oratrix,Gelbkopfamazone
Red-browed Parrot,Amazona rhodocorytha,Rotscheitelamazone
Tucuman Parrot,Amazona tucumana,Tucumanamazone
Hispaniolan Parrot,Amazona ventralis,Hispaniolaamazone
Vinaceous-breasted Parrot,Amazona vinacea,Taubenhalsamazone
Red-crowned Parrot,Amazona viridigenalis,Grünwangenamazone
Yellow-lored Parrot,Amazona xantholora,Goldzügelamazone
Brazilian Teal,Amazonetta brasiliensis,Amazonasente
