species_en,species_scientific,species_de
Silvered Antbird,Sclateria naevia,Silberameisenschnäpper
Gray-winged Francolin,Scleroptila afra,Grauflügelfrankolin
Orange River Francolin,Scleroptila gutturalis,Rebhuhnfrankolin
Red-winged Francolin,Scleroptila levaillantii,Rotflügelfrankolin
Shelley's Francolin,Scleroptila shelleyi,Shelleyfrankolin
Gray-throated Leaftosser,Sclerurus albigularis,Graukehl-Laubwender
Black-tailed Leaftosser,Sclerurus caudacutus,Weißkehl-Laubwender
Scaly-throated Leaftosser,Sclerurus guatemalensis,Fleckenbrust-Laubwender
Middle American Leaftosser,Sclerurus mexicanus,Rostkehl-Laubwender
South American Leaftosser,Sclerurus obscurior,Braunkehl-Laubwender
Short-billed Leaftosser,Sclerurus rufigularis,Kurzschnabel-Laubwender
Rufous-breasted Leaftosser,Sclerurus scansor,Schuppenkehl-Laubwender
Bukidnon Woodcock,Scolopax bukidnonensis,Bukidnonschnepfe
American Woodcock,Scolopax minor,Kanadaschnepfe
Eurasian Woodcock,Scolopax rusticola,Waldschnepfe
Hamerkop,Scopus umbretta,Hammerkopf
Scrub Warbler,Scotocerca inquieta,Wüstendickichtsänger
Curve-tailed Bush Katydid,Scudderia curvicauda,Curve-tailed Bush Katydid
Fork-tailed Bush Katydid,Scudderia furcata,Fork-tailed Bush Katydid
Texas Bush Katydid,Scudderia texensis,Texas Bush Katydid
Tschudi's Tapaculo,Scytalopus acutirostris,Grautapaculo
Ancash Tapaculo,Scytalopus affinis,Ancashtapaculo
Neblina Tapaculo,Scytalopus altirostris,Neblinatapaculo
Tatama Tapaculo,Scytalopus alvarezlopezi,Tatamátapaculo
Loja Tapaculo,Scytalopus androstictus,Lojatapaculo
Silvery-fronted Tapaculo,Scytalopus argentifrons,Silberbrauentapaculo
White-crowned Tapaculo,Scytalopus atratus,Weißscheiteltapaculo
Bolivian Tapaculo,Scytalopus bolivianus,Weißkronentapaculo
Paramillo Tapaculo,Scytalopus canus,Antioquiatapaculo
Caracas Tapaculo,Scytalopus caracae,Caracastapaculo
Choco Tapaculo,Scytalopus chocoensis,Chocótapaculo
Diamantina Tapaculo,Scytalopus diamantinensis,Diamantinatapaculo
Rufous-vented Tapaculo,Scytalopus femoralis,Schieferrückentapaculo
Jalca Tapaculo,Scytalopus frankeae,Nebelwaldtapaculo
Dusky Tapaculo,Scytalopus fuscus,Rußtapaculo
Pale-bellied Tapaculo,Scytalopus griseicollis,Rostbürzeltapaculo
Utcubamba Tapaculo,Scytalopus intermedius,Utcubambatapaculo
Marsh Tapaculo,Scytalopus iraiensis,Flussauentapaculo
Brown-rumped Tapaculo,Scytalopus latebricola,Hellkehltapaculo
Blackish Tapaculo,Scytalopus latrans,Schwarztapaculo
Large-footed Tapaculo,Scytalopus macropus,Großfußtapaculo
Magellanic Tapaculo,Scytalopus magellanicus,Magellantapaculo
Merida Tapaculo,Scytalopus meridanus,Méridatapaculo
Long-tailed Tapaculo,Scytalopus micropterus,Dunkelrückentapaculo
Brasilia Tapaculo,Scytalopus novacapitalis,Brasiliatapaculo
Paramo Tapaculo,Scytalopus opacus,Kordillerentapaculo
Planalto Tapaculo,Scytalopus pachecoi,Planalto-Tapaculo
Chusquea Tapaculo,Scytalopus parkeri,Bambustapaculo
Trilling Tapaculo,Scytalopus parvirostris,Trillertapaculo
Perija Tapaculo,Scytalopus perijanus,Perijátapaculo
Rock Tapaculo,Scytalopus petrophilus,Felstapaculo
Ecuadorian Tapaculo,Scytalopus robbinsi,Robbinstapaculo
Magdalena Tapaculo,Scytalopus rodriguezi,Magdalenatapaculo
Santa Marta Tapaculo,Scytalopus sanctaemartae,Santa-Marta-Tapaculo
Diademed Tapaculo,Scytalopus schulenbergi,Diademtapaculo
Puna Tapaculo,Scytalopus simonsi,Punatapaculo
Mouse-colored Tapaculo,Scytalopus speluncae,Maustapaculo
Spillmann's Tapaculo,Scytalopus spillmanni,Roststeißtapaculo
Stiles's Tapaculo,Scytalopus stilesi,Stilestapaculo
White-browed Tapaculo,Scytalopus superciliaris,Weißbrauentapaculo
Unicolored Tapaculo,Scytalopus unicolor,Hellbauchtapaculo
Vilcabamba Tapaculo,Scytalopus urubambae,Vilcabambatapaculo
Nariño Tapaculo,Scytalopus vicinior,Nariñotapaculo
Zimmer's Tapaculo,Scytalopus zimmeri,Graukehltapaculo
Channel-billed Cuckoo,Scythrops novaehollandiae,Nashornkuckuck
Ovenbird,Seiurus aurocapilla,Pieperwaldsänger
Calliope Hummingbird,Selasphorus calliope,Sternelfe
Wine-throated Hummingbird,Selasphorus ellioti,Elliotelfe
Bumblebee Hummingbird,Selasphorus heloisa,Rosenkehlelfe
Broad-tailed Hummingbird,Selasphorus platycercus,Breitschwanzelfe
Rufous Hummingbird,Selasphorus rufus,Rotrücken-Zimtelfe
Allen's Hummingbird,Selasphorus sasin,Grünrücken-Zimtelfe
Gould's Toucanet,Selenidera gouldii,Gouldarassari
Spot-billed Toucanet,Selenidera maculirostris,Fleckenarassari
Guianan Toucanet,Selenidera piperivora,Pfefferarassari
Golden-collared Toucanet,Selenidera reinwardtii,Reinwardtarassari
Yellow-eared Toucanet,Selenidera spectabilis,Gelbohrarassari
Twelve-wired Bird-of-Paradise,Seleucidis melanoleucus,Fadenparadiesvogel
Standardwing Bird-of-Paradise,Semioptera wallacii,Bänderparadiesvogel
Prong-billed Barbet,Semnornis frantzii,Aztekenbartvogel
Toucan Barbet,Semnornis ramphastinus,Tukanbartvogel
Green-backed Firecrown,Sephanoides sephaniodes,Chilekolibri
Yellow-throated Scrubwren,Sericornis citreogularis,Yellow-throated Scrubwren
White-browed Scrubwren,Sericornis frontalis,Weißbrauensericornis
Tasmanian Scrubwren,Sericornis humilis,Tasmansericornis
Large-billed Scrubwren,Sericornis magnirostra,Fahlstirnsericornis
Papuan Scrubwren,Sericornis papuensis,Papuasericornis
White-capped Tanager,Sericossypha albocristata,Weißkappentangare
Silver-breasted Broadbill,Serilophus lunatus,Schwarzbrauen-Breitrachen
Black-headed Canary,Serinus alario,Alariogirlitz
Island Canary,Serinus canaria,Kanarengirlitz
Cape Canary,Serinus canicollis,Gelbscheitelgirlitz
Yellow-crowned Canary,Serinus flavivertex,Gelbstirngirlitz
Fire-fronted Serin,Serinus pusillus,Rotstirngirlitz
European Serin,Serinus serinus,Girlitz
Torrent Tyrannulet,Serpophaga cinerea,Sturzbach-Kleintyrann
Straneck's Tyrannulet,Serpophaga griseicapilla,Grauscheitel-Kleintyrann
River Tyrannulet,Serpophaga hypoleuca,Uferkleintyrann
White-bellied Tyrannulet,Serpophaga munda,White-bellied Tyrannulet
Sooty Tyrannulet,Serpophaga nigricans,Rußkleintyrann
White-crested Tyrannulet,Serpophaga subcristata,Weißscheitel-Kleintyrann
Little Nightjar,Setopagis parvula,Zwergnachtschwalbe
Adelaide's Warbler,Setophaga adelaidae,Antillenwaldsänger
Northern Parula,Setophaga americana,Meisenwaldsänger
Black-throated Blue Warbler,Setophaga caerulescens,Blaurücken-Waldsänger
Bay-breasted Warbler,Setophaga castanea,Braunkehl-Waldsänger
Cerulean Warbler,Setophaga cerulea,Blauwaldsänger
Golden-cheeked Warbler,Setophaga chrysoparia,Goldwangen-Waldsänger
Hooded Warbler,Setophaga citrina,Kapuzenwaldsänger
Yellow-rumped Warbler,Setophaga coronata,Kronenwaldsänger
Prairie Warbler,Setophaga discolor,Rotmantel-Waldsänger
Yellow-throated Warbler,Setophaga dominica,Goldkehl-Waldsänger
Blackburnian Warbler,Setophaga fusca,Fichtenwaldsänger
Grace's Warbler,Setophaga graciae,Arizonawaldsänger
Kirtland's Warbler,Setophaga kirtlandii,Michiganwaldsänger
Magnolia Warbler,Setophaga magnolia,Magnolienwaldsänger
Black-throated Gray Warbler,Setophaga nigrescens,Trauerwaldsänger
Hermit Warbler,Setophaga occidentalis,Einsiedelwaldsänger
Palm Warbler,Setophaga palmarum,Palmenwaldsänger
Chestnut-sided Warbler,Setophaga pensylvanica,Gelbscheitel-Waldsänger
Yellow Warbler,Setophaga petechia,Goldwaldsänger
Pine Warbler,Setophaga pinus,Kiefernwaldsänger
Tropical Parula,Setophaga pitiayumi,Elfenwaldsänger
Olive-capped Warbler,Setophaga pityophila,Kubawaldsänger
American Redstart,Setophaga ruticilla,Rotschwanz-Waldsänger
Blackpoll Warbler,Setophaga striata,Streifenwaldsänger
Cape May Warbler,Setophaga tigrina,Tigerwaldsänger
Townsend's Warbler,Setophaga townsendi,Townsendwaldsänger
Black-throated Green Warbler,Setophaga virens,Grünmantel-Waldsänger
East Coast Akalat,Sheppardia gunningi,Blauflügelrötel
Sharpe's Akalat,Sheppardia sharpei,Braunbruströtel
White-bellied Sholakili,Sholicola albiventris,Weißbauchschmätzer
Nilgiri Sholakili,Sholicola major,Nilgirischmätzer
Mountain Bluebird,Sialia currucoides,Berghüttensänger
Western Bluebird,Sialia mexicana,Blaukehl-Hüttensänger
Eastern Bluebird,Sialia sialis,Rotkehl-Hüttensänger
Greater Yellow-Finch,Sicalis auriventris,Goldbauch-Gilbtangare
Stripe-tailed Yellow-Finch,Sicalis citrina,Zitronengilbtangare
Saffron Finch,Sicalis flaveola,Safrangilbtangare
Patagonian Yellow-Finch,Sicalis lebruni,Magellangilbtangare
Citron-headed Yellow-Finch,Sicalis luteocephala,Graunacken-Gilbtangare
Grassland Yellow-Finch,Sicalis luteola,Kurzschnabel-Gilbtangare
Greenish Yellow-Finch,Sicalis olivascens,Olivbrust-Gilbtangare
Bright-rumped Yellow-Finch,Sicalis uropygialis,Goldbürzel-Gilbtangare
Vinous-throated Parrotbill,Sinosuthora webbiana,Braunkopf-Papageimeise
Least Pauraque,Siphonorhis brewsteri,Haitinachtschwalbe
Stub-tailed Antbird,Sipia berlepschi,Kurzschwanz-Ameisenvogel
Dull-mantled Antbird,Sipia laemosticta,Grauscheitel-Ameisenvogel
Esmeraldas Antbird,Sipia nigricauda,Chocóameisenvogel
Magdalena Antbird,Sipia palliata,Magdalenaameisenvogel
Siren,Siren,Siren
White-rumped Sirystes,Sirystes albocinereus,Halsband-Kappentyrann
Choco Sirystes,Sirystes albogriseus,Grauschulter-Kappentyrann
Sibilant Sirystes,Sirystes sibilator,Olivrücken-Kappentyrann
Red-breasted Nuthatch,Sitta canadensis,Rotbrustkleiber
White-breasted Nuthatch,Sitta carolinensis,Weißbrustkleiber
Chestnut-bellied Nuthatch,Sitta cinnamoventris,Zimtbauchkleiber
Eurasian Nuthatch,Sitta europaea,Kleiber
Velvet-fronted Nuthatch,Sitta frontalis,Samtstirnkleiber
White-tailed Nuthatch,Sitta himalayensis,Weißschwanzkleiber
Krüper's Nuthatch,Sitta krueperi,Türkenkleiber
Giant Nuthatch,Sitta magna,Riesenkleiber
Chestnut-vented Nuthatch,Sitta nagaensis,Rostflankenkleiber
Western Rock Nuthatch,Sitta neumayer,Felsenkleiber
Brown-headed Nuthatch,Sitta pusilla,Braunkopfkleiber
Pygmy Nuthatch,Sitta pygmaea,Zwergkleiber
Eastern Rock Nuthatch,Sitta tephronota,Klippenkleiber
Snowy-browed Nuthatch,Sitta villosa,Chinakleiber
Corsican Nuthatch,Sitta whiteheadi,Korsenkleiber
Yunnan Nuthatch,Sitta yunnanensis,Yunnankleiber
Olivaceous Woodcreeper,Sittasomus griseicapillus,Dünnschnabel-Baumsteiger
Chestnut-bellied Tit,Sittiparus castaneoventris,Taiwanbuntmeise
Owston's Tit,Sittiparus owstoni,Izuinseln-Buntmeise
Varied Tit,Sittiparus varius,Buntmeise
Weebill,Smicrornis brevirostris,Stutzschnabel
African Broadbill,Smithornis capensis,Schwarzscheitel-Breitrachen
Rufous-sided Broadbill,Smithornis rufolateralis,Weißbinden-Breitrachen
Gray-tailed Piha,Snowornis subalaris,Schwarzkronenkotinga
Common Eider,Somateria mollissima,Eiderente
King Eider,Somateria spectabilis,Prachteiderente
Bay-capped Wren-Spinetail,Spartonoica maluroides,Strichelrücken-Dickichtschlüpfer
Northern Shoveler,Spatula clypeata,Löffelente
Cinnamon Teal,Spatula cyanoptera,Zimtente
Blue-winged Teal,Spatula discors,Blauflügelente
Red Shoveler,Spatula platalea,Fuchslöffelente
Puna Teal,Spatula puna,Punaente
Garganey,Spatula querquedula,Knäkente
Plains Spadefoot,Spea bombifrons,Plains Spadefoot
Rufous-throated Wren-Babbler,Spelaeornis caudatus,Rotkehl-Zaunkönigtimalie
Chin Hills Wren-Babbler,Spelaeornis oatesi,Perlen-Zaunkönigtimalie
Bar-winged Wren-Babbler,Spelaeornis troglodytoides,Binden-Zaunkönigtimalie
Bronze Mannikin,Spermestes cucullata,Kleinelsterchen
Western Bluebill,Spermophaga haematina,Rotbrust-Samenknacker
Australasian Figbird,Sphecotheres vieilloti,Feigenpirol
African Penguin,Spheniscus demersus,Brillenpinguin
Magellanic Penguin,Spheniscus magellanicus,Magellanpinguin
Cape Grassbird,Sphenoeacus afer,Kap-Bülbülgrasmücke
Oleaginous Hemispingus,Sphenopsis frontalis,Olivrücken-Finkentangare
Black-eared Hemispingus,Sphenopsis melanotis,Schwarzohr-Finkentangare
Red-naped Sapsucker,Sphyrapicus nuchalis,Rotnacken-Saftlecker
Red-breasted Sapsucker,Sphyrapicus ruber,Feuerkopf-Saftlecker
Williamson's Sapsucker,Sphyrapicus thyroideus,Kiefernsaftlecker
Yellow-bellied Sapsucker,Sphyrapicus varius,Gelbbauch-Saftlecker
Cricket Longtail,Spiloptila clamans,Schuppenkopfsänger
Crested Serpent-Eagle,Spilornis cheela,Haubenschlangenadler
Philippine Serpent-Eagle,Spilornis holospilus,Philippinenschlangenadler
Western Spindalis,Spindalis zena,Kuba-Streifenkopftangare
Black Siskin,Spinus atratus,Schwarzzeisig
Black-chinned Siskin,Spinus barbatus,Bartzeisig
Thick-billed Siskin,Spinus crassirostris,Dickschnabelzeisig
Red Siskin,Spinus cucullatus,Kapuzenzeisig
Lawrence's Goldfinch,Spinus lawrencei,Maskenzeisig
Hooded Siskin,Spinus magellanicus,Magellanzeisig
Black-headed Siskin,Spinus notatus,Schwarzbrustzeisig
Olivaceous Siskin,Spinus olivaceus,Olivzeisig
Pine Siskin,Spinus pinus,Fichtenzeisig
Lesser Goldfinch,Spinus psaltria,Mexikozeisig
Andean Siskin,Spinus spinescens,Andenzeisig
Eurasian Siskin,Spinus spinus,Erlenzeisig
American Goldfinch,Spinus tristis,Goldzeisig
Yellow-bellied Siskin,Spinus xanthogastrus,Gelbbauchzeisig
Dickcissel,Spiza americana,Rotschulterkardinal
Black-and-chestnut Eagle,Spizaetus isidori,Kastanienbauchadler
Black-and-white Hawk-Eagle,Spizaetus melanoleucus,Elsteradler
Ornate Hawk-Eagle,Spizaetus ornatus,Prachtadler
Black Hawk-Eagle,Spizaetus tyrannus,Tyrannenadler
Black-chinned Sparrow,Spizella atrogularis,Schwarzkinnammer
Brewer's Sparrow,Spizella breweri,Blassammer
Clay-colored Sparrow,Spizella pallida,Fahlammer
Chipping Sparrow,Spizella passerina,Schwirrammer
Field Sparrow,Spizella pusilla,Klapperammer
Worthen's Sparrow,Spizella wortheni,Mexikoammer
American Tree Sparrow,Spizelloides arborea,Baumammer
Spot-winged Falconet,Spiziapteryx circumcincta,Tropfenfalke
Crested Finchbill,Spizixos canifrons,Finkenbülbül
Collared Finchbill,Spizixos semitorques,Halsbandbülbül
White-cheeked Starling,Spodiopsar cineraceus,Weißwangenstar
Red-billed Starling,Spodiopsar sericeus,Seidenstar
Slaty Finch,Spodiornis rusticus,Schieferammertangare
Blue-capped Tanager,Sporathraupis cyanocephala,Blaukopftangare
White-throated Seedeater,Sporophila albogularis,Weißkehlspelzer
Chestnut-bellied Seed-Finch,Sporophila angolensis,Braunbauchspelzer
Black-billed Seed-Finch,Sporophila atrirostris,Schwarzschnabelspelzer
Copper Seedeater,Sporophila bouvreuil,Orangespelzer
Lesson's Seedeater,Sporophila bouvronides,Weißbartspelzer
Double-collared Seedeater,Sporophila caerulescens,Schmuckspelzer
Chestnut-bellied Seedeater,Sporophila castaneiventris,Rotbauchspelzer
Chestnut Seedeater,Sporophila cinnamomea,Zimtspelzer
Rusty-collared Seedeater,Sporophila collaris,Erzspelzer
Variable Seedeater,Sporophila corvina,Dunkelspelzer
Large-billed Seed-Finch,Sporophila crassirostris,Rußspelzer
Temminck's Seedeater,Sporophila falcirostris,Falzschnabelspelzer
White-naped Seedeater,Sporophila fringilloides,Spitzschnabelspelzer
Buffy-fronted Seedeater,Sporophila frontalis,Riesenspelzer
Thick-billed Seed-Finch,Sporophila funerea,Dickschnabelspelzer
Rufous-rumped Seedeater,Sporophila hypochroma,Rotbürzelspelzer
Tawny-bellied Seedeater,Sporophila hypoxantha,Ockerbrustspelzer
Gray Seedeater,Sporophila intermedia,Einfarbspelzer
White-bellied Seedeater,Sporophila leucoptera,Zweifarbenspelzer
Lined Seedeater,Sporophila lineola,Diamantspelzer
Black-and-white Seedeater,Sporophila luctuosa,Elsterspelzer
Ruddy-breasted Seedeater,Sporophila minuta,Zwergspelzer
Morelet's Seedeater,Sporophila morelleti,Schwarzbrustspelzer
Caqueta Seedeater,Sporophila murallae,Graubauchspelzer
Yellow-bellied Seedeater,Sporophila nigricollis,Gelbbauchspelzer
Nicaraguan Seed-Finch,Sporophila nuttingi,Rosenschnabelspelzer
Marsh Seedeater,Sporophila palustris,Sumpfspelzer
Parrot-billed Seedeater,Sporophila peruviana,Papageischnabelspelzer
Pearly-bellied Seedeater,Sporophila pileata,Weißwangenspelzer
Plumbeous Seedeater,Sporophila plumbea,Grauspelzer
Dark-throated Seedeater,Sporophila ruficollis,Schwarzkehlspelzer
Slate-colored Seedeater,Sporophila schistacea,Schieferspelzer
Drab Seedeater,Sporophila simplex,Schlichtspelzer
Chestnut-throated Seedeater,Sporophila telasco,Braunkehlspelzer
Cinnamon-rumped Seedeater,Sporophila torqueola,Halsbandspelzer
Speckle-fronted Weaver,Sporopipes frontalis,Fleckstirnweber
Scaly Weaver,Sporopipes squamifrons,Bartweber
Chestnut-rumped Babbler,Stachyris maculata,Rostbürzel-Buschtimalie
Gray-throated Babbler,Stachyris nigriceps,Schwarzbrauen-Buschtimalie
Black-throated Babbler,Stachyris nigricollis,Schwarzkehl-Buschtimalie
Gray-headed Babbler,Stachyris poliocephala,Graukopf-Buschtimalie
Spot-necked Babbler,Stachyris strialata,Fleckenhals-Buschtimalie
White-bibbed Babbler,Stachyris thoracica,Weißlatz-Buschtimalie
White-eared Barbet,Stactolaema leucotis,Weißohr-Bartvogel
Green Barbet,Stactolaema olivacea,Olivbartvogel
Beautiful Firetail,Stagonopleura bella,Feuerschwanzamadine
Indochinese Yuhina,Staphida torqueola,Kastanienohryuhina
Oilbird,Steatornis caripensis,Fettschwalm
Slender-billed Greenbul,Stelgidillas gracilirostris,Schmalschnabelbülbül
Southern Rough-winged Swallow,Stelgidopteryx ruficollis,Zimtkehlschwalbe
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Graukehlschwalbe
Fairy Flycatcher,Stenostira scita,Elfenschnäpper
Crowned Eagle,Stephanoaetus coronatus,Kronenadler
Diademed Tanager,Stephanophorus diadematus,Diademtangare
Green-crowned Plovercrest,Stephanoxis lalandi,Grünhaubenelfe
Purple-crowned Plovercrest,Stephanoxis loddigesii,Violetthaubenelfe
Brown Skua,Stercorarius antarcticus,Braunskua
Long-tailed Jaeger,Stercorarius longicaudus,Falkenraubmöwe
South Polar Skua,Stercorarius maccormicki,Südpolarskua
Parasitic Jaeger,Stercorarius parasiticus,Schmarotzerraubmöwe
Pomarine Jaeger,Stercorarius pomarinus,Spatelraubmöwe
Great Skua,Stercorarius skua,Skua
River Tern,Sterna aurantia,Goldschnabel-Seeschwalbe
Roseate Tern,Sterna dougallii,Rosenseeschwalbe
Forster's Tern,Sterna forsteri,Forsterseeschwalbe
South American Tern,Sterna hirundinacea,Falklandseeschwalbe
Common Tern,Sterna hirundo,Flussseeschwalbe
Arctic Tern,Sterna paradisaea,Küstenseeschwalbe
White-cheeked Tern,Sterna repressa,Weißwangen-Seeschwalbe
White-fronted Tern,Sterna striata,Weißstirn-Seeschwalbe
Black-naped Tern,Sterna sumatrana,Schwarznacken-Seeschwalbe
Snowy-crowned Tern,Sterna trudeaui,Weißscheitel-Seeschwalbe
Antarctic Tern,Sterna vittata,Antarktisseeschwalbe
Little Tern,Sternula albifrons,Zwergseeschwalbe
Least Tern,Sternula antillarum,Antillenseeschwalbe
Saunders's Tern,Sternula saundersi,Orientseeschwalbe
Yellow-billed Tern,Sternula superciliaris,Amazonasseeschwalbe
Greater Wagtail-Tyrant,Stigmatura budytoides,Südstelzentyrann
Lesser Wagtail-Tyrant,Stigmatura napensis,Nordstelzentyrann
Burnished-buff Tanager,Stilpnia cayana,Isabelltangare
Blue-necked Tanager,Stilpnia cyanicollis,Azurkopftangare
Black-headed Tanager,Stilpnia cyanoptera,Blauflügeltangare
Black-capped Tanager,Stilpnia heinei,Schwarzscheiteltangare
Golden-hooded Tanager,Stilpnia larvata,Goldscheiteltangare
Masked Tanager,Stilpnia nigrocincta,Schwarzbrusttangare
Black-backed Tanager,Stilpnia peruviana,Schwarzmanteltangare
Chestnut-backed Tanager,Stilpnia preciosa,Prachttangare
Scrub Tanager,Stilpnia vitriolina,Rotscheiteltangare
Forest Robin,Stiphrornis erythrothorax,Orange-breasted Forest Robin
Southern Emuwren,Stipiturus malachurus,Rotstirn-Borstenschwanz
Double-barred Finch,Stizoptera bichenovii,Ringelamadine
White-gaped Honeyeater,Stomiopera unicolor,Wulsthonigfresser
Black Currawong,Strepera fuliginosa,Tasmankrähenstar
Pied Currawong,Strepera graculina,Weißbürzel-Krähenstar
Gray Currawong,Strepera versicolor,Rußkrähenstar
Ring-necked Dove,Streptopelia capicola,Gurrtaube
Spotted Dove,Streptopelia chinensis,Spotted Dove
Eurasian Collared-Dove,Streptopelia decaocto,Türkentaube
Mourning Collared-Dove,Streptopelia decipiens,Brillentaube
Dusky Turtle-Dove,Streptopelia lugens,Trauerturteltaube
Oriental Turtle-Dove,Streptopelia orientalis,Orientturteltaube
African Collared-Dove,Streptopelia roseogrisea,Lachtaube
Red-eyed Dove,Streptopelia semitorquata,Halbmondtaube
Laughing Dove,Streptopelia senegalensis,Laughing Dove
Red Collared-Dove,Streptopelia tranquebarica,Halsringtaube
European Turtle-Dove,Streptopelia turtur,Turteltaube
Vinaceous Dove,Streptopelia vinacea,Röteltaube
Biscutate Swift,Streptoprocne biscutata,Schildsegler
Chestnut-collared Swift,Streptoprocne rutila,Rothalssegler
White-collared Swift,Streptoprocne zonaris,Halsbandsegler
Tawny Owl,Strix aluco,Waldkauz
Chaco Owl,Strix chacoensis,Chacokauz
Fulvous Owl,Strix fulvescens,Gelbkauz
Desert Owl,Strix hadorami,Fahlkauz
Rusty-barred Owl,Strix hylophila,Brasilkauz
Brown Wood-Owl,Strix leptogrammica,Malaienkauz
Great Gray Owl,Strix nebulosa,Bartkauz
Himalayan Owl,Strix nivicolum,Himalajakauz
Spotted Owl,Strix occidentalis,Fleckenkauz
Mottled Wood-Owl,Strix ocellata,Mangokauz
Rufous-legged Owl,Strix rufipes,Rotfußkauz
Spotted Wood-Owl,Strix seloputo,Pagodenkauz
Ural Owl,Strix uralensis,Habichtskauz
Barred Owl,Strix varia,Streifenkauz
African Wood-Owl,Strix woodfordii,Afrikakauz
Apostlebird,Struthidea cinerea,Aposteltöpferkrähe
Eastern Meadowlark,Sturnella magna,Lerchenstärling
Western Meadowlark,Sturnella neglecta,Wiesenstärling
Malabar Starling,Sturnia blythii,Malabarstar
Chestnut-tailed Starling,Sturnia malabarica,Graukopfstar
Brahminy Starling,Sturnia pagodarum,Pagodenstar
White-shouldered Starling,Sturnia sinensis,Mandarinstar
Spotless Starling,Sturnus unicolor,Einfarbstar
European Starling,Sturnus vulgaris,Star
Northern Scrub-Flycatcher,Sublegatus arenarum,Karibikstrauchtyrann
Southern Scrub-Flycatcher,Sublegatus modestus,Pantanalstrauchtyrann
Amazonian Scrub-Flycatcher,Sublegatus obscurior,Amazonienstrauchtyrann
Black Honeyeater,Sugomel nigrum,Trauerhonigfresser
Suiriri Flycatcher,Suiriri suiriri,Grauscheitel-Olivtyrann
Masked Booby,Sula dactylatra,Maskentölpel
Brown Booby,Sula leucogaster,Weißbauchtölpel
Blue-footed Booby,Sula nebouxii,Blaufußtölpel
Red-footed Booby,Sula sula,Rotfußtölpel
Northern Hawk Owl,Surnia ulula,Sperbereule
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,Gabelschwanz-Drongokuckuck
Square-tailed Drongo-Cuckoo,Surniculus lugubris,Geradschwanz-Drongokuckuck
Philippine Drongo-Cuckoo,Surniculus velutinus,Philippinendrongokuckuck
Black-throated Parrotbill,Suthora nipalensis,Grauohr-Papageimeise
Golden Parrotbill,Suthora verreauxi,Goldstirn-Papageimeise
Swynnerton's Robin,Swynnertonia swynnertoni,Swynnertonrötel
African Hill Babbler,Sylvia abyssinica,Hochland-Grasmücke
Eurasian Blackcap,Sylvia atricapilla,Mönchsgrasmücke
Rwenzori Hill Babbler,Sylvia atriceps,Schwarzkopf-Grasmücke
Garden Warbler,Sylvia borin,Gartengrasmücke
Bush Blackcap,Sylvia nigricapillus,Kappengrasmücke
Northern Crombec,Sylvietta brachyura,Braunbauchsylvietta
Cape Crombec,Sylvietta rufescens,Langschnabelsylvietta
Red-capped Crombec,Sylvietta ruficapilla,Rotohrsylvietta
Green Crombec,Sylvietta virens,Grünmantelsylvietta
Red-faced Crombec,Sylvietta whytii,Rotzügelsylvietta
Des Murs's Wiretail,Sylviorthorhynchus desmursii,Fadenschwanzschlüpfer
Tawny Tit-Spinetail,Sylviorthorhynchus yanacensis,Roststirn-Meisenschlüpfer
Yellow-browed Tit,Sylviparus modestus,Laubmeise
Yellow-billed Kingfisher,Syma torotoro,Gelbschnabelliest
Spectacled Monarch,Symposiachrus trivirgatus,Brillenmonarch
Pale-breasted Spinetail,Synallaxis albescens,Weißbauch-Dickichtschlüpfer
Dark-breasted Spinetail,Synallaxis albigularis,Dunkelbrust-Dickichtschlüpfer
White-lored Spinetail,Synallaxis albilora,Weißzügel-Dickichtschlüpfer
Azara's Spinetail,Synallaxis azarae,Azaradickichtschlüpfer
Slaty Spinetail,Synallaxis brachyura,Graurücken-Dickichtschlüpfer
Cabanis's Spinetail,Synallaxis cabanisi,Rostscheitel-Dickichtschlüpfer
White-whiskered Spinetail,Synallaxis candei,Weißbart-Dickichtschlüpfer
Black-throated Spinetail,Synallaxis castanea,Schwarzkehl-Dickichtschlüpfer
Chestnut-throated Spinetail,Synallaxis cherriei,Orangekehl-Dickichtschlüpfer
Gray-bellied Spinetail,Synallaxis cinerascens,Graubauch-Dickichtschlüpfer
Bahia Spinetail,Synallaxis cinerea,Bahiadickichtschlüpfer
Stripe-breasted Spinetail,Synallaxis cinnamomea,Streifenbrust-Dickichtschlüpfer
Apurimac Spinetail,Synallaxis courseni,Langschwanz-Dickichtschlüpfer
Rufous-breasted Spinetail,Synallaxis erythrothorax,Rotbrust-Dickichtschlüpfer
Sooty-fronted Spinetail,Synallaxis frontalis,Graustirn-Dickichtschlüpfer
Rusty-headed Spinetail,Synallaxis fuscorufa,Rotkopf-Dickichtschlüpfer
Plain-crowned Spinetail,Synallaxis gujanensis,Braunkappen-Dickichtschlüpfer
Red-shouldered Spinetail,Synallaxis hellmayri,Rotschulter-Dickichtschlüpfer
Great Spinetail,Synallaxis hypochondriaca,Weißbrust-Dickichtschlüpfer
Cinereous-breasted Spinetail,Synallaxis hypospodia,Graubrust-Dickichtschlüpfer
Pinto's Spinetail,Synallaxis infuscata,Dunkelbauch-Dickichtschlüpfer
